_id,uid,timestamp,brightness
68afe00d6ce213cee766af27,test004,1756353602.0,0.4
68afe00d6ce213cee766af28,test004,1756353612.0,0.0
68afe00d6ce213cee766af29,test004,1756353613.0,0.4
68afe00d6ce213cee766af2a,test004,1756353619.0,0.0
68afe00d6ce213cee766af2b,test004,1756353624.0,0.4
68afe00d6ce213cee766af39,test004,1756353625.0,0.0
68afe00d6ce213cee766af3a,test004,1756353628.0,0.4
68afe00d6ce213cee766af3b,test004,1756353634.0,0.0
68afe00d6ce213cee766af3c,test004,1756353646.0,0.2
68afe00d6ce213cee766af3d,test004,1756353650.0,0.3
68afe00d6ce213cee766af3f,test004,1756353671.0,0.25
68afe00d6ce213cee766af40,test004,1756353673.0,0.3
68afe00d6ce213cee766af41,test004,1756353674.0,0.0
68afe00d6ce213cee766af42,test004,1756353677.0,0.15
68afe00d6ce213cee766af43,test004,1756353678.0,0.0
68afe00d6ce213cee766af49,test004,1756353716.0,0.45
68afe00d6ce213cee766af4a,test004,1756353762.0,0.0
68afe00d6ce213cee766af4b,test004,1756353776.0,0.4
68afe00d6ce213cee766af4c,test004,1756353784.0,0.0
68afe00d6ce213cee766af4d,test004,1756354259.0,0.3
68afe00d6ce213cee766af4e,test004,1756354261.0,0.4
68afe00d6ce213cee766af6b,test004,1756354339.0,0.0
68afe00d6ce213cee766af6c,test004,1756354341.0,0.4
68afe00d6ce213cee766af6d,test004,1756354364.0,0.0
68afe00d6ce213cee766af6e,test004,1756354368.0,0.05
68afe00d6ce213cee766af95,test004,1756355950.0,0.25
68afe00d6ce213cee766af96,test004,1756355964.0,0.15
68afe00d6ce213cee766af97,test004,1756355970.0,0.25
68afe00d6ce213cee766af98,test004,1756355972.0,0.3
68afe00d6ce213cee766af99,test004,1756355979.0,0.25
68afe00d6ce213cee766af9a,test004,1756355985.0,0.15
68afe00d6ce213cee766af9b,test004,1756355990.0,0.25
68afe00d6ce213cee766af9c,test004,1756355992.0,0.3
68afe00d6ce213cee766af9d,test004,1756355999.0,0.25
68afe00d6ce213cee766af9e,test004,1756356006.0,0.15
68afe00d6ce213cee766af9f,test004,1756356010.0,0.1
68afe00d6ce213cee766afa0,test004,1756356011.0,0.15
68afe00d6ce213cee766afa1,test004,1756356013.0,0.25
68afe00d6ce213cee766afa3,test004,1756356023.0,0.25
68afe00d6ce213cee766afa4,test004,1756356029.0,0.15
68afe00d6ce213cee766afa5,test004,1756356031.0,0.25
68afe00d6ce213cee766afa6,test004,1756356032.0,0.3
68afe00d6ce213cee766afa7,test004,1756356042.0,0.25
68afe00d6ce213cee766afa8,test004,1756356043.0,0.0
68afe253c6cec652f47f7df8,test004,1756356217.0,0.05
68afe253c6cec652f47f7dfb,test004,1756356218.0,0.25
68afe7069dd923b91ffdc74f,test004,1756356744.0,0.35
68afe7069dd923b91ffdc750,test004,1756356747.0,0.4
68afe7069dd923b91ffdc751,test004,1756356756.0,0.35
68afe7069dd923b91ffdc752,test004,1756356764.0,0.4
68afe7069dd923b91ffdc772,test004,1756357452.0,0.35
68afe7069dd923b91ffdc773,test004,1756357456.0,0.25
68afe7069dd923b91ffdc774,test004,1756357457.0,0.3
68afe7069dd923b91ffdc775,test004,1756357460.0,0.4
68afe7069dd923b91ffdc776,test004,1756357489.0,0.0
68afe7069dd923b91ffdc777,test004,1756357514.0,0.4
68afe95baa12a9a2e2a833d6,test004,1756357942.0,0.0
68aff5155928c2e13e959a2c,test004,1756361026.0,0.4
68aff5155928c2e13e959a2d,test004,1756361051.0,0.0
68affc1de0eab137e5009dd3,test004,1756362490.0,0.4
68affc1de0eab137e5009dd4,test004,1756362582.0,0.0
68affc1de0eab137e5009de0,test004,1756362756.0,0.4
68affc1de0eab137e5009de1,test004,1756363033.0,0.35
68affc1de0eab137e5009de2,test004,1756363037.0,0.25
68affc1de0eab137e5009de3,test004,1756363043.0,0.15
68affc1de0eab137e5009de4,test004,1756363047.0,0.1
68affc1de0eab137e5009de5,test004,1756363053.0,0.05
68affc1de0eab137e5009de6,test004,1756363062.0,0.0
68b0390d5e491c3a87fce2ec,test004,1756378879.0,0.05
68b03dbcb4a4924a619135c5,test004,1756378885.0,0.0
68b04014f7aea397a8667bed,test004,1756379948.0,0.05
68b04014f7aea397a8667bee,test004,1756379954.0,0.0
68b044c47064f360347fdfaa,test004,1756380971.0,0.05
68b044c47064f360347fdfab,test004,1756380973.0,0.1
68b044c47064f360347fdfac,test004,1756380977.0,0.0
68b044c47064f360347fdfad,test004,1756381233.0,0.05
68b044c47064f360347fdfae,test004,1756381236.0,0.1
68b044c47064f360347fdfaf,test004,1756381240.0,0.0
68b0471cc3cfd757bd36bd2d,test004,1756381321.0,0.05
68b0471cc3cfd757bd36bd2e,test004,1756381323.0,0.1
68b0471cc3cfd757bd36bd2f,test004,1756381327.0,0.0
68b0471cc3cfd757bd36bd38,test004,1756381947.0,0.1
68b0471cc3cfd757bd36bd39,test004,1756381953.0,0.0
68b04bcc391f35a011c6df46,test004,1756382505.0,0.1
68b04bcc391f35a011c6df47,test004,1756382511.0,0.0
68b04e23fa7482096af70f5a,test004,1756384004.0,0.1
68b04e23fa7482096af70f5b,test004,1756384010.0,0.0
68b04e23fa7482096af70f5c,test004,1756384103.0,0.1
68b04e23fa7482096af70f5d,test004,1756384110.0,0.0
68b04e23fa7482096af70f5e,test004,1756384148.0,0.1
68b04e23fa7482096af70f5f,test004,1756384154.0,0.0
68b04e23fa7482096af70f60,test004,1756384263.0,0.1
68b04e23fa7482096af70f61,test004,1756384269.0,0.0
68b052d54699af93828408e2,test004,1756385074.0,0.1
68b052d54699af93828408e3,test004,1756385081.0,0.0
68b052d54699af93828408e4,test004,1756385355.0,0.1
68b052d54699af93828408e5,test004,1756385361.0,0.0
68b05785bccebfa70562ac1f,test004,1756385494.0,0.1
68b05785bccebfa70562ac20,test004,1756385500.0,0.0
68b05785bccebfa70562ac21,test004,1756385505.0,0.1
68b05785bccebfa70562ac22,test004,1756385511.0,0.0
68b05785bccebfa70562ac23,test004,1756385535.0,0.1
68b05785bccebfa70562ac24,test004,1756385541.0,0.0
68b05785bccebfa70562ac25,test004,1756385570.0,0.1
68b05785bccebfa70562ac26,test004,1756385576.0,0.0
68b05785bccebfa70562ac27,test004,1756385691.0,0.1
68b05785bccebfa70562ac28,test004,1756385697.0,0.0
68b05785bccebfa70562ac29,test004,1756385716.0,0.1
68b05785bccebfa70562ac2a,test004,1756385722.0,0.0
68b05785bccebfa70562ac2b,test004,1756385738.0,0.1
68b05785bccebfa70562ac2c,test004,1756385744.0,0.0
68b05785bccebfa70562ac2d,test004,1756385758.0,0.1
68b05785bccebfa70562ac2e,test004,1756385764.0,0.0
68b05785bccebfa70562ac2f,test004,1756385818.0,0.1
68b05785bccebfa70562ac30,test004,1756385824.0,0.0
68b05785bccebfa70562ac31,test004,1756385982.0,0.1
68b05785bccebfa70562ac32,test004,1756385985.0,0.15
68b05785bccebfa70562ac33,test004,1756385989.0,0.0
68b05785bccebfa70562ac51,test004,1756386396.0,0.15
68b05785bccebfa70562ac52,test004,1756386402.0,0.0
68b05785bccebfa70562ac53,test004,1756386412.0,0.15
68b05785bccebfa70562ac54,test004,1756386418.0,0.0
68b05785bccebfa70562ac55,test004,1756386534.0,0.15
68b05785bccebfa70562ac56,test004,1756386540.0,0.0
68b059dcecc0693f5ff8fec7,test004,1756386825.0,0.15
68b059dcecc0693f5ff8fec8,test004,1756386831.0,0.0
68b059dcecc0693f5ff8fec9,test004,1756386914.0,0.15
68b059dcecc0693f5ff8feca,test004,1756386920.0,0.0
68b05e8d2053b253077179ca,test004,1756387326.0,0.15
68b05e8d2053b253077179cb,test004,1756387332.0,0.0
68b05e8d2053b253077179cc,test004,1756387881.0,0.15
68b05e8d2053b253077179df,test004,1756387887.0,0.0
68b05e8d2053b253077179e0,test004,1756388080.0,0.15
68b05e8d2053b253077179e1,test004,1756388086.0,0.0
68b05e8d2053b253077179e2,test004,1756388316.0,0.15
68b05e8d2053b253077179e3,test004,1756388322.0,0.0
68b060e4e1650c06225841bd,test004,1756388704.0,0.15
68b060e4e1650c06225841be,test004,1756388710.0,0.0
68b060e4e1650c06225841bf,test004,1756388719.0,0.15
68b060e4e1650c06225841c0,test004,1756388725.0,0.0
68b060e4e1650c06225841c1,test004,1756388902.0,0.15
68b060e4e1650c06225841c2,test004,1756388908.0,0.0
68b060e4e1650c06225841c3,test004,1756388944.0,0.15
68b060e4e1650c06225841c4,test004,1756388950.0,0.0
68b060e4e1650c06225841c5,test004,1756389068.0,0.15
68b060e4e1650c06225841c6,test004,1756389074.0,0.0
