_id,uid,start_timestamp,end_timestamp,steps,distance,floors_ascended,floors_descended
68b8bec9a362a5066f33cfa6,test004,1756353694.0,1756353841.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfa7,test004,1756353841.0,1756353870.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfa8,test004,1756353870.0,1756353882.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfa9,test004,1756353882.0,1756353904.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfaa,test004,1756353904.0,1756353917.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfab,test004,1756353917.0,1756353943.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfac,test004,1756353943.0,1756353992.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfad,test004,1756353992.0,1756354223.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfae,test004,1756354223.0,1756354245.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfaf,test004,1756354245.0,1756354388.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb0,test004,1756354388.0,1756354519.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb1,test004,1756354519.0,1756354600.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb2,test004,1756354600.0,1756354621.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb3,test004,1756354621.0,1756354651.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb4,test004,1756354651.0,1756354665.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb5,test004,1756354665.0,1756354696.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb6,test004,1756354696.0,1756354818.0,12,6.540000000037253,0.0,0.0
68b8bec9a362a5066f33cfb7,test004,1756354818.0,1756354873.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb8,test004,1756354873.0,1756354896.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfb9,test004,1756354896.0,1756354950.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfba,test004,1756354950.0,1756355007.0,27,13.66999999992549,0.0,0.0
68b8bec9a362a5066f33cfbb,test004,1756355007.0,1756355028.0,25,15.1999999997206,0.0,0.0
68b8bec9a362a5066f33cfbc,test004,1756355028.0,1756355029.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfbd,test004,1756355029.0,1756355109.0,23,13.23999999975786,0.0,0.0
68b8bec9a362a5066f33cfbe,test004,1756355109.0,1756355762.0,1027,535.199207933154,0.0,0.0
68b8bec9a362a5066f33cfbf,test004,1756355762.0,1756355958.0,44,29.61000011861324,0.0,0.0
68b8bec9a362a5066f33cfc0,test004,1756355958.0,1756356225.0,429,324.4200000017881,3.0,0.0
68b8bec9a362a5066f33cfc1,test004,1756356225.0,1756356319.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfc2,test004,1756356319.0,1756356377.0,14,10.5,0.0,0.0
68b8bec9a362a5066f33cfc3,test004,1756356377.0,1756356422.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfc4,test004,1756356422.0,1756356452.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfc5,test004,1756356452.0,1756356470.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfc6,test004,1756356470.0,1756356540.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfc7,test004,1756356540.0,1756356588.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfc8,test004,1756356588.0,1756356640.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfc9,test004,1756356640.0,1756356725.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfca,test004,1756356725.0,1756356736.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfcb,test004,1756356736.0,1756357144.0,2,0.8199999998323619,0.0,0.0
68b8bec9a362a5066f33cfcc,test004,1756357144.0,1756357164.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfcd,test004,1756357164.0,1756357178.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfce,test004,1756357178.0,1756357217.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfcf,test004,1756357217.0,1756357329.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd0,test004,1756357329.0,1756357376.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd1,test004,1756357376.0,1756357408.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd2,test004,1756357408.0,1756357424.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd3,test004,1756357424.0,1756357462.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd4,test004,1756357462.0,1756357502.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd5,test004,1756357502.0,1756357553.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd6,test004,1756357553.0,1756357582.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd7,test004,1756357582.0,1756357627.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd8,test004,1756357627.0,1756357655.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfd9,test004,1756357655.0,1756357714.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfda,test004,1756357714.0,1756357789.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfdb,test004,1756357789.0,1756357806.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfdc,test004,1756357806.0,1756357884.0,0,0.0,0.0,0.0
68b8bec9a362a5066f33cfdd,test004,1756357884.0,1756357946.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0c3,test004,1756360645.0,1756360645.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0c5,test004,1756361055.0,1756361132.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0c6,test004,1756361132.0,1756361148.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0c7,test004,1756361148.0,1756362597.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0c8,test004,1756362597.0,1756362766.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0c9,test004,1756362766.0,1756362782.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0ca,test004,1756362782.0,1756362799.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0cb,test004,1756362799.0,1756362811.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0cc,test004,1756362811.0,1756362819.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0cd,test004,1756362819.0,1756362838.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0ce,test004,1756362838.0,1756362915.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0cf,test004,1756362915.0,1756362970.0,18,12.16999999992549,0.0,0.0
68b8becaa362a5066f33d0d0,test004,1756362970.0,1756363026.0,15,10.79000000003725,0.0,0.0
68b8becaa362a5066f33d0d1,test004,1756363026.0,1756363035.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d2,test004,1756363035.0,1756363076.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d3,test004,1756363076.0,1756363213.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d4,test004,1756363213.0,1756363234.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d5,test004,1756363234.0,1756363392.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d6,test004,1756363392.0,1756363414.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d7,test004,1756363414.0,1756363428.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d8,test004,1756363428.0,1756363434.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0d9,test004,1756363434.0,1756363444.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0da,test004,1756363444.0,1756363482.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0db,test004,1756363482.0,1756363506.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0dc,test004,1756363506.0,1756363523.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0dd,test004,1756363523.0,1756363559.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0de,test004,1756363559.0,1756363568.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0df,test004,1756363568.0,1756363619.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e0,test004,1756363619.0,1756363639.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e1,test004,1756363639.0,1756363665.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e2,test004,1756363665.0,1756364286.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e3,test004,1756364286.0,1756364476.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e4,test004,1756364476.0,1756364642.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e5,test004,1756364642.0,1756365788.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e6,test004,1756365788.0,1756365795.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d0e7,test004,1756365795.0,1756366003.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d17c,test004,1756367965.0,1756367965.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d17e,test004,1756368012.0,1756368429.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d17f,test004,1756368429.0,1756370628.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d180,test004,1756370628.0,1756373418.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d181,test004,1756373418.0,1756373766.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d182,test004,1756373766.0,1756373772.0,0,0.0,0.0,0.0
68b8becaa362a5066f33d183,test004,1756373772.0,1756374253.0,0,0.0,0.0,0.0
68b8becba362a5066f33d245,test004,1756375346.0,1756375346.0,0,0.0,0.0,0.0
68b8becba362a5066f33d247,test004,1756375888.0,1756379309.0,0,0.0,0.0,0.0
68b8becba362a5066f33d248,test004,1756379309.0,1756379323.0,0,0.0,0.0,0.0
68b8becba362a5066f33d249,test004,1756379323.0,1756379359.0,0,0.0,0.0,0.0
68b8becba362a5066f33d24a,test004,1756379359.0,1756379946.0,0,0.0,0.0,0.0
68b8becba362a5066f33d24b,test004,1756379946.0,1756380787.0,0,0.0,0.0,0.0
68b8becca362a5066f33d351,test004,1756382666.0,1756382666.0,0,0.0,0.0,0.0
68b8becca362a5066f33d353,test004,1756383603.0,1756383799.0,0,0.0,0.0,0.0
68b8becca362a5066f33d354,test004,1756383799.0,1756385290.0,0,0.0,0.0,0.0
68b8becca362a5066f33d355,test004,1756385290.0,1756385543.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4b7,test004,1756389987.0,1756389987.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4b9,test004,1756390287.0,1756394256.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4ba,test004,1756394256.0,1756394265.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4bb,test004,1756394265.0,1756394293.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4bc,test004,1756394293.0,1756394329.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4bd,test004,1756394329.0,1756394375.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4be,test004,1756394375.0,1756394418.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4bf,test004,1756394418.0,1756394437.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c0,test004,1756394437.0,1756394470.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c1,test004,1756394470.0,1756394486.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c2,test004,1756394486.0,1756394507.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c3,test004,1756394507.0,1756394566.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c4,test004,1756394566.0,1756394630.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c5,test004,1756394630.0,1756394668.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c6,test004,1756394668.0,1756394705.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c7,test004,1756394705.0,1756394726.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c8,test004,1756394726.0,1756394740.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4c9,test004,1756394740.0,1756394755.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4ca,test004,1756394755.0,1756394783.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4cb,test004,1756394783.0,1756394792.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4cc,test004,1756394792.0,1756394805.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4cd,test004,1756394805.0,1756394817.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4ce,test004,1756394817.0,1756394860.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4cf,test004,1756394860.0,1756394875.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d0,test004,1756394875.0,1756394882.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d1,test004,1756394882.0,1756394919.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d2,test004,1756394919.0,1756395047.0,82,56.11999999871477,0.0,0.0
68b8becda362a5066f33d4d3,test004,1756395047.0,1756395060.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d4,test004,1756395060.0,1756395079.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d5,test004,1756395079.0,1756395094.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d6,test004,1756395094.0,1756395119.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d7,test004,1756395119.0,1756395140.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d8,test004,1756395140.0,1756395148.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4d9,test004,1756395148.0,1756395169.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4da,test004,1756395169.0,1756395199.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4db,test004,1756395199.0,1756395234.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4dc,test004,1756395234.0,1756395296.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4dd,test004,1756395296.0,1756395325.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4de,test004,1756395325.0,1756395332.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4df,test004,1756395332.0,1756395376.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e0,test004,1756395376.0,1756395404.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e1,test004,1756395404.0,1756395414.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e2,test004,1756395414.0,1756395453.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e3,test004,1756395453.0,1756395486.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e4,test004,1756395486.0,1756395511.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e5,test004,1756395511.0,1756395535.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e6,test004,1756395535.0,1756395545.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e7,test004,1756395545.0,1756395563.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e8,test004,1756395563.0,1756395574.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4e9,test004,1756395574.0,1756395579.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4ea,test004,1756395579.0,1756395628.0,0,0.0,0.0,0.0
68b8becda362a5066f33d4eb,test004,1756395628.0,1756395648.0,0,0.0,0.0,0.0
